dataset,model_name,template,source_lang,target_lang,compile,incorrect,runtime,success,All
avatar,dolphin-2.6-phi-2,controlled,Python,Rust,218,5,0,0,223
avatar,dolphin-2.6-phi-2,controlled_md,Java,C#,198,12,12,0,222
avatar,dolphin-2.6-phi-2,controlled_md,Java,Go,215,6,0,1,222
avatar,dolphin-2.6-phi-2,controlled_md,Java,Python,99,73,46,4,222
avatar,dolphin-2.6-phi-2,controlled_md,Java,Rust,218,4,0,0,222
avatar,dolphin-2.6-phi-2,controlled_md,Python,C#,167,19,28,9,223
avatar,dolphin-2.6-phi-2,controlled_md,Python,Go,221,2,0,0,223
avatar,dolphin-2.6-phi-2,controlled_md,Python,Java,152,30,29,12,223
avatar,dolphin-2.6-phi-2,controlled_md,Python,Rust,220,3,0,0,223
avatar,dolphin-2.7-mixtral,controlled_md,Java,C#,75,27,88,32,222
avatar,dolphin-2.7-mixtral,controlled_md,Java,Go,162,28,8,24,222
avatar,dolphin-2.7-mixtral,controlled_md,Java,Python,8,53,97,64,222
avatar,dolphin-2.7-mixtral,controlled_md,Java,Rust,130,14,50,28,222
avatar,dolphin-2.7-mixtral,controlled_md,Python,C#,60,50,39,74,223
avatar,dolphin-2.7-mixtral,controlled_md,Python,Go,172,22,11,18,223
avatar,dolphin-2.7-mixtral,controlled_md,Python,Java,37,54,46,86,223
avatar,dolphin-2.7-mixtral,controlled_md,Python,Rust,113,22,44,44,223
avatar,llama3-8b,controlled_md,Java,C#,150,7,44,21,222
avatar,llama3-8b,controlled_md,Java,Go,205,12,3,2,222
avatar,llama3-8b,controlled_md,Java,Python,7,28,128,59,222
avatar,llama3-8b,controlled_md,Java,Rust,206,4,8,4,222
avatar,llama3-8b,controlled_md,Python,C#,90,50,29,54,223
avatar,llama3-8b,controlled_md,Python,Go,207,8,4,4,223
avatar,llama3-8b,controlled_md,Python,Java,74,50,44,55,223
avatar,llama3-8b,controlled_md,Python,Rust,174,26,14,9,223
avatar,mistral,LIT,Java,C#,175,6,35,6,222
avatar,mistral,LIT,Java,Go,198,14,5,5,222
avatar,mistral,LIT,Java,Python,73,23,105,21,222
avatar,mistral,LIT,Java,Rust,218,4,0,0,222
avatar,mistral,LIT,Python,C#,150,39,20,14,223
avatar,mistral,LIT,Python,Go,202,15,1,5,223
avatar,mistral,LIT,Python,Java,128,39,37,19,223
avatar,mistral,LIT,Python,Rust,216,5,2,0,223
avatar,mistral,controlled,Java,C#,187,5,25,5,222
avatar,mistral,controlled,Java,Go,197,11,7,7,222
avatar,mistral,controlled,Java,Python,32,48,117,25,222
avatar,mistral,controlled,Java,Rust,218,4,0,0,222
avatar,mistral,controlled,Python,C#,139,45,30,9,223
avatar,mistral,controlled,Python,Go,203,9,3,8,223
avatar,mistral,controlled,Python,Java,143,32,28,20,223
avatar,mistral,controlled,Python,Rust,216,4,3,0,223
avatar,mistral,controlled_md,Java,C#,181,5,23,13,222
avatar,mistral,controlled_md,Java,Go,199,7,6,10,222
avatar,mistral,controlled_md,Java,Python,27,34,135,26,222
avatar,mistral,controlled_md,Java,Rust,214,3,3,2,222
avatar,mistral,controlled_md,Python,C#,135,37,28,23,223
avatar,mistral,controlled_md,Python,Go,212,6,2,3,223
avatar,mistral,controlled_md,Python,Java,121,40,41,21,223
avatar,mistral,controlled_md,Python,Rust,216,4,2,1,223
avatar,mistral,via_description,Java,C#,106,31,80,5,222
avatar,mistral,via_description,Java,Go,185,28,7,2,222
avatar,mistral,via_description,Java,Python,25,74,107,16,222
avatar,mistral,via_description,Java,Rust,208,10,4,0,222
avatar,mistral,via_description,Python,C#,112,52,57,2,223
avatar,mistral,via_description,Python,Go,186,25,11,1,223
avatar,mistral,via_description,Python,Java,103,58,52,10,223
avatar,mistral,via_description,Python,Rust,207,12,3,1,223
avatar,mixtral,LIT,Java,Go,168,25,4,25,222
avatar,mixtral,LIT,Java,Python,144,24,30,24,222
avatar,mixtral,LIT,Python,Go,164,25,3,31,223
avatar,mixtral,LIT,Python,Java,54,48,38,83,223
avatar,mixtral,controlled,Java,C#,177,14,18,13,222
avatar,mixtral,controlled,Java,Go,165,33,2,22,222
avatar,mixtral,controlled,Java,Python,89,26,67,40,222
avatar,mixtral,controlled,Java,Rust,168,10,26,18,222
avatar,mixtral,controlled,Python,C#,52,75,35,61,223
avatar,mixtral,controlled,Python,Go,181,21,7,14,223
avatar,mixtral,controlled,Python,Java,64,49,28,82,223
avatar,mixtral,controlled,Python,Rust,166,18,12,27,223
avatar,mixtral,controlled_md,Java,C#,159,15,27,21,222
avatar,mixtral,controlled_md,Java,Go,161,29,7,25,222
avatar,mixtral,controlled_md,Java,Python,23,53,88,58,222
avatar,mixtral,controlled_md,Java,Rust,162,17,30,13,222
avatar,mixtral,controlled_md,Python,C#,48,78,36,61,223
avatar,mixtral,controlled_md,Python,Go,189,13,9,12,223
avatar,mixtral,controlled_md,Python,Java,52,51,41,79,223
avatar,mixtral,controlled_md,Python,Rust,152,21,19,31,223
avatar,phi3,controlled_md,Java,C#,107,28,83,4,222
avatar,phi3,controlled_md,Java,Go,214,7,0,1,222
avatar,phi3,controlled_md,Java,Python,5,37,145,35,222
avatar,phi3,controlled_md,Java,Rust,208,10,3,1,222
avatar,phi3,controlled_md,Python,C#,115,55,30,23,223
avatar,phi3,controlled_md,Python,Go,215,5,2,1,223
avatar,phi3,controlled_md,Python,Java,105,40,41,37,223
avatar,phi3,controlled_md,Python,Rust,211,6,4,2,223
bithacks,codestral,controlled_md,Python,C#,0,2,1,11,14
bithacks,codestral,controlled_md,Python,Go,5,2,1,6,14
bithacks,codestral,controlled_md,Python,Java,1,2,4,7,14
bithacks,codestral,controlled_md,Python,Rust,4,0,3,7,14
bithacks,dolphin-2.6-mistral,LIT,Python,C#,5,4,1,4,14
bithacks,dolphin-2.6-mistral,LIT,Python,Go,11,2,0,1,14
bithacks,dolphin-2.6-mistral,LIT,Python,Java,9,2,2,1,14
bithacks,dolphin-2.6-mistral,LIT,Python,Rust,12,0,1,1,14
bithacks,dolphin-2.6-mistral,controlled,Python,C#,5,4,0,5,14
bithacks,dolphin-2.6-mistral,controlled,Python,Go,11,2,0,1,14
bithacks,dolphin-2.6-mistral,controlled,Python,Java,4,1,5,4,14
bithacks,dolphin-2.6-mistral,controlled,Python,Rust,11,1,0,2,14
bithacks,dolphin-2.6-mistral,controlled_md,Python,C#,6,4,0,4,14
bithacks,dolphin-2.6-mistral,controlled_md,Python,Go,13,1,0,0,14
bithacks,dolphin-2.6-mistral,controlled_md,Python,Java,5,0,4,5,14
bithacks,dolphin-2.6-mistral,controlled_md,Python,Rust,7,1,0,6,14
bithacks,dolphin-2.6-mistral,via_description,Python,C#,4,9,1,0,14
bithacks,dolphin-2.6-mistral,via_description,Python,Go,10,4,0,0,14
bithacks,dolphin-2.6-mistral,via_description,Python,Java,7,5,0,2,14
bithacks,dolphin-2.6-mistral,via_description,Python,Rust,8,1,4,1,14
bithacks,dolphin-2.6-phi-2,controlled,Python,C#,8,2,0,4,14
bithacks,dolphin-2.6-phi-2,controlled,Python,Go,14,0,0,0,14
bithacks,dolphin-2.6-phi-2,controlled,Python,Java,10,1,2,1,14
bithacks,dolphin-2.6-phi-2,controlled,Python,Rust,14,0,0,0,14
bithacks,dolphin-2.6-phi-2,controlled_md,Python,C#,11,3,0,0,14
bithacks,dolphin-2.6-phi-2,controlled_md,Python,Go,14,0,0,0,14
bithacks,dolphin-2.6-phi-2,controlled_md,Python,Java,9,0,4,1,14
bithacks,dolphin-2.6-phi-2,controlled_md,Python,Rust,14,0,0,0,14
bithacks,dolphin-2.7-mixtral,controlled_md,Python,C#,3,6,0,5,14
bithacks,dolphin-2.7-mixtral,controlled_md,Python,Go,12,0,0,2,14
bithacks,dolphin-2.7-mixtral,controlled_md,Python,Java,5,3,1,5,14
bithacks,dolphin-2.7-mixtral,controlled_md,Python,Rust,7,0,3,4,14
bithacks,llama3-8b,controlled_md,Python,C#,6,4,0,4,14
bithacks,llama3-8b,controlled_md,Python,Go,12,1,0,1,14
bithacks,llama3-8b,controlled_md,Python,Java,5,1,1,7,14
bithacks,llama3-8b,controlled_md,Python,Rust,9,1,2,2,14
bithacks,mistral,controlled,Python,C#,6,4,2,2,14
bithacks,mistral,controlled,Python,Go,11,1,0,2,14
bithacks,mistral,controlled,Python,Java,9,1,1,3,14
bithacks,mistral,controlled,Python,Rust,13,0,0,1,14
bithacks,mistral,controlled_md,Python,C#,8,2,3,1,14
bithacks,mistral,controlled_md,Python,Go,13,1,0,0,14
bithacks,mistral,controlled_md,Python,Java,11,1,0,2,14
bithacks,mistral,controlled_md,Python,Rust,12,1,0,1,14
bithacks,mistral,via_description,Python,C#,5,6,3,0,14
bithacks,mistral,via_description,Python,Go,11,3,0,0,14
bithacks,mistral,via_description,Python,Java,6,4,0,4,14
bithacks,mistral,via_description,Python,Rust,12,1,0,1,14
bithacks,mixtral,controlled,Python,C#,2,7,1,4,14
bithacks,mixtral,controlled,Python,Go,10,0,0,4,14
bithacks,mixtral,controlled,Python,Java,2,4,1,7,14
bithacks,mixtral,controlled,Python,Rust,9,1,0,4,14
bithacks,mixtral,controlled_md,Python,C#,3,7,0,4,14
bithacks,mixtral,controlled_md,Python,Go,7,3,0,4,14
bithacks,mixtral,controlled_md,Python,Java,3,3,1,7,14
bithacks,mixtral,controlled_md,Python,Rust,9,2,1,2,14
bithacks,phi3,controlled_md,Python,C#,6,6,2,0,14
bithacks,phi3,controlled_md,Python,Go,13,1,0,0,14
bithacks,phi3,controlled_md,Python,Java,9,0,0,5,14
bithacks,phi3,controlled_md,Python,Rust,13,0,1,0,14
codenet,codestral,controlled_md,Go,C#,9,6,88,92,195
codenet,codestral,controlled_md,Go,Java,5,14,7,169,195
codenet,codestral,controlled_md,Go,Python,0,8,69,118,195
codenet,codestral,controlled_md,Go,Rust,40,6,52,97,195
codenet,codestral,controlled_md,Java,C#,21,8,85,82,196
codenet,codestral,controlled_md,Java,Go,55,34,4,103,196
codenet,codestral,controlled_md,Java,Python,1,14,75,106,196
codenet,codestral,controlled_md,Java,Rust,33,10,60,93,196
codenet,codestral,controlled_md,Python,C#,10,14,2,173,199
codenet,codestral,controlled_md,Python,Go,62,23,28,86,199
codenet,codestral,controlled_md,Python,Java,5,12,8,174,199
codenet,codestral,controlled_md,Python,Rust,25,7,13,154,199
codenet,dolphin-2.6-mistral,LIT,Go,C#,62,42,68,23,195
codenet,dolphin-2.6-mistral,LIT,Go,Java,109,13,21,52,195
codenet,dolphin-2.6-mistral,LIT,Go,Python,16,34,74,71,195
codenet,dolphin-2.6-mistral,LIT,Go,Rust,138,11,20,26,195
codenet,dolphin-2.6-mistral,LIT,Java,C#,154,12,24,6,196
codenet,dolphin-2.6-mistral,LIT,Java,Go,167,22,4,3,196
codenet,dolphin-2.6-mistral,LIT,Java,Python,19,36,81,60,196
codenet,dolphin-2.6-mistral,LIT,Java,Rust,135,14,28,19,196
codenet,dolphin-2.6-mistral,LIT,Python,C#,59,36,25,79,199
codenet,dolphin-2.6-mistral,LIT,Python,Go,168,9,6,16,199
codenet,dolphin-2.6-mistral,LIT,Python,Java,79,25,18,77,199
codenet,dolphin-2.6-mistral,LIT,Python,Rust,155,7,11,26,199
codenet,dolphin-2.6-mistral,controlled,Go,C#,65,41,65,24,195
codenet,dolphin-2.6-mistral,controlled,Go,Java,56,16,36,87,195
codenet,dolphin-2.6-mistral,controlled,Go,Python,10,37,78,70,195
codenet,dolphin-2.6-mistral,controlled,Go,Rust,142,15,10,28,195
codenet,dolphin-2.6-mistral,controlled,Java,C#,110,31,40,15,196
codenet,dolphin-2.6-mistral,controlled,Java,Go,149,25,7,15,196
codenet,dolphin-2.6-mistral,controlled,Java,Python,51,38,63,44,196
codenet,dolphin-2.6-mistral,controlled,Java,Rust,124,15,32,25,196
codenet,dolphin-2.6-mistral,controlled,Python,C#,29,41,22,107,199
codenet,dolphin-2.6-mistral,controlled,Python,Go,152,14,9,24,199
codenet,dolphin-2.6-mistral,controlled,Python,Java,24,25,27,123,199
codenet,dolphin-2.6-mistral,controlled,Python,Rust,116,12,17,54,199
codenet,dolphin-2.6-mistral,controlled_md,Go,C#,65,45,51,34,195
codenet,dolphin-2.6-mistral,controlled_md,Go,Java,40,23,24,108,195
codenet,dolphin-2.6-mistral,controlled_md,Go,Python,18,32,69,76,195
codenet,dolphin-2.6-mistral,controlled_md,Go,Rust,143,12,16,24,195
codenet,dolphin-2.6-mistral,controlled_md,Java,C#,109,25,39,23,196
codenet,dolphin-2.6-mistral,controlled_md,Java,Go,144,28,6,18,196
codenet,dolphin-2.6-mistral,controlled_md,Java,Python,14,51,83,48,196
codenet,dolphin-2.6-mistral,controlled_md,Java,Rust,125,12,33,26,196
codenet,dolphin-2.6-mistral,controlled_md,Python,C#,40,37,17,105,199
codenet,dolphin-2.6-mistral,controlled_md,Python,Go,144,24,13,18,199
codenet,dolphin-2.6-mistral,controlled_md,Python,Java,31,23,26,119,199
codenet,dolphin-2.6-mistral,controlled_md,Python,Rust,118,18,20,43,199
codenet,dolphin-2.6-mistral,via_description,Go,C#,43,71,56,25,195
codenet,dolphin-2.6-mistral,via_description,Go,Java,54,65,29,47,195
codenet,dolphin-2.6-mistral,via_description,Go,Python,19,47,79,50,195
codenet,dolphin-2.6-mistral,via_description,Go,Rust,117,11,36,31,195
codenet,dolphin-2.6-mistral,via_description,Java,C#,37,67,67,25,196
codenet,dolphin-2.6-mistral,via_description,Java,Go,137,45,7,7,196
codenet,dolphin-2.6-mistral,via_description,Java,Python,28,58,78,32,196
codenet,dolphin-2.6-mistral,via_description,Java,Rust,115,25,34,22,196
codenet,dolphin-2.6-mistral,via_description,Python,C#,30,93,49,27,199
codenet,dolphin-2.6-mistral,via_description,Python,Go,133,47,4,15,199
codenet,dolphin-2.6-mistral,via_description,Python,Java,41,74,24,60,199
codenet,dolphin-2.6-mistral,via_description,Python,Rust,114,28,24,33,199
codenet,dolphin-2.6-phi-2,controlled,Go,C#,132,24,32,7,195
codenet,dolphin-2.6-phi-2,controlled,Go,Java,140,12,23,19,194
codenet,dolphin-2.6-phi-2,controlled,Go,Python,56,32,52,55,195
codenet,dolphin-2.6-phi-2,controlled,Go,Rust,184,10,0,1,195
codenet,dolphin-2.6-phi-2,controlled,Java,C#,151,20,20,5,196
codenet,dolphin-2.6-phi-2,controlled,Java,Go,195,0,1,0,196
codenet,dolphin-2.6-phi-2,controlled,Java,Python,44,46,64,42,196
codenet,dolphin-2.6-phi-2,controlled,Java,Rust,191,4,1,0,196
codenet,dolphin-2.6-phi-2,controlled,Python,C#,102,27,44,26,199
codenet,dolphin-2.6-phi-2,controlled,Python,Go,194,1,4,0,199
codenet,dolphin-2.6-phi-2,controlled,Python,Java,93,31,24,51,199
codenet,dolphin-2.6-phi-2,controlled,Python,Rust,196,3,0,0,199
codenet,dolphin-2.6-phi-2,controlled_md,Go,C#,132,21,28,14,195
codenet,dolphin-2.6-phi-2,controlled_md,Go,Java,113,33,26,23,195
codenet,dolphin-2.6-phi-2,controlled_md,Go,Python,47,93,33,22,195
codenet,dolphin-2.6-phi-2,controlled_md,Go,Rust,182,11,1,1,195
codenet,dolphin-2.6-phi-2,controlled_md,Java,C#,155,20,16,5,196
codenet,dolphin-2.6-phi-2,controlled_md,Java,Go,193,2,1,0,196
codenet,dolphin-2.6-phi-2,controlled_md,Java,Python,53,95,32,16,196
codenet,dolphin-2.6-phi-2,controlled_md,Java,Rust,190,5,1,0,196
codenet,dolphin-2.6-phi-2,controlled_md,Python,C#,119,24,39,17,199
codenet,dolphin-2.6-phi-2,controlled_md,Python,Go,194,3,1,1,199
codenet,dolphin-2.6-phi-2,controlled_md,Python,Java,95,40,32,32,199
codenet,dolphin-2.6-phi-2,controlled_md,Python,Rust,190,6,3,0,199
codenet,dolphin-2.7-mixtral,controlled_md,Go,C#,73,38,63,21,195
codenet,dolphin-2.7-mixtral,controlled_md,Go,Java,31,21,30,113,195
codenet,dolphin-2.7-mixtral,controlled_md,Go,Python,24,18,73,80,195
codenet,dolphin-2.7-mixtral,controlled_md,Go,Rust,118,8,38,31,195
codenet,dolphin-2.7-mixtral,controlled_md,Java,C#,74,44,62,16,196
codenet,dolphin-2.7-mixtral,controlled_md,Java,Go,119,41,8,28,196
codenet,dolphin-2.7-mixtral,controlled_md,Java,Python,7,27,91,71,196
codenet,dolphin-2.7-mixtral,controlled_md,Java,Rust,102,10,47,37,196
codenet,dolphin-2.7-mixtral,controlled_md,Python,C#,23,30,22,124,199
codenet,dolphin-2.7-mixtral,controlled_md,Python,Go,151,14,6,28,199
codenet,dolphin-2.7-mixtral,controlled_md,Python,Java,31,11,18,139,199
codenet,dolphin-2.7-mixtral,controlled_md,Python,Rust,88,11,19,81,199
codenet,llama3-8b,controlled_md,Go,C#,149,7,33,6,195
codenet,llama3-8b,controlled_md,Go,Java,74,13,37,71,195
codenet,llama3-8b,controlled_md,Go,Python,11,17,92,75,195
codenet,llama3-8b,controlled_md,Go,Rust,137,13,28,17,195
codenet,llama3-8b,controlled_md,Java,C#,193,2,1,0,196
codenet,llama3-8b,controlled_md,Java,Go,183,7,1,5,196
codenet,llama3-8b,controlled_md,Java,Python,9,30,98,59,196
codenet,llama3-8b,controlled_md,Java,Rust,152,7,18,19,196
codenet,llama3-8b,controlled_md,Python,C#,40,28,22,107,197
codenet,llama3-8b,controlled_md,Python,Go,176,4,8,9,197
codenet,llama3-8b,controlled_md,Python,Java,46,21,32,98,197
codenet,llama3-8b,controlled_md,Python,Rust,100,18,17,62,197
codenet,mistral,LIT,Go,C#,134,28,26,7,195
codenet,mistral,LIT,Go,Java,129,35,21,10,195
codenet,mistral,LIT,Go,Python,56,23,76,40,195
codenet,mistral,LIT,Go,Rust,187,5,0,3,195
codenet,mistral,LIT,Java,C#,140,18,28,10,196
codenet,mistral,LIT,Java,Go,164,10,5,17,196
codenet,mistral,LIT,Java,Python,35,34,95,32,196
codenet,mistral,LIT,Java,Rust,186,3,5,2,196
codenet,mistral,LIT,Python,C#,111,28,31,29,199
codenet,mistral,LIT,Python,Go,157,19,2,21,199
codenet,mistral,LIT,Python,Java,81,43,28,47,199
codenet,mistral,LIT,Python,Rust,188,5,3,3,199
codenet,mistral,controlled,Go,C#,139,19,23,14,195
codenet,mistral,controlled,Go,Java,108,37,35,15,195
codenet,mistral,controlled,Go,Python,47,34,71,43,195
codenet,mistral,controlled,Go,Rust,188,5,1,1,195
codenet,mistral,controlled,Java,C#,154,11,26,5,196
codenet,mistral,controlled,Java,Go,166,15,5,10,196
codenet,mistral,controlled,Java,Python,15,46,102,33,196
codenet,mistral,controlled,Java,Rust,187,6,2,1,196
codenet,mistral,controlled,Python,C#,92,51,24,32,199
codenet,mistral,controlled,Python,Go,150,22,3,24,199
codenet,mistral,controlled,Python,Java,84,36,20,59,199
codenet,mistral,controlled,Python,Rust,190,4,3,2,199
codenet,mistral,controlled_md,Go,C#,132,28,28,7,195
codenet,mistral,controlled_md,Go,Java,129,16,20,30,195
codenet,mistral,controlled_md,Go,Python,54,26,83,32,195
codenet,mistral,controlled_md,Go,Rust,184,6,2,3,195
codenet,mistral,controlled_md,Java,C#,166,13,15,2,196
codenet,mistral,controlled_md,Java,Go,164,17,4,11,196
codenet,mistral,controlled_md,Java,Python,20,40,93,43,196
codenet,mistral,controlled_md,Java,Rust,173,11,11,1,196
codenet,mistral,controlled_md,Python,C#,92,41,27,39,199
codenet,mistral,controlled_md,Python,Go,170,14,4,11,199
codenet,mistral,controlled_md,Python,Java,81,25,22,71,199
codenet,mistral,controlled_md,Python,Rust,186,4,5,4,199
codenet,mistral,via_description,Go,C#,89,47,52,7,195
codenet,mistral,via_description,Go,Java,72,65,27,31,195
codenet,mistral,via_description,Go,Python,24,66,76,29,195
codenet,mistral,via_description,Go,Rust,174,8,10,3,195
codenet,mistral,via_description,Java,C#,73,40,74,9,196
codenet,mistral,via_description,Java,Go,162,23,5,6,196
codenet,mistral,via_description,Java,Python,20,66,93,17,196
codenet,mistral,via_description,Java,Rust,162,19,12,3,196
codenet,mistral,via_description,Python,C#,91,53,51,4,199
codenet,mistral,via_description,Python,Go,150,24,15,10,199
codenet,mistral,via_description,Python,Java,78,56,31,34,199
codenet,mistral,via_description,Python,Rust,166,16,8,9,199
codenet,mixtral,LIT,Go,C#,102,28,44,21,195
codenet,mixtral,LIT,Go,Java,40,15,22,118,195
codenet,mixtral,LIT,Go,Python,114,13,27,41,195
codenet,mixtral,LIT,Go,Rust,79,7,17,9,112
codenet,mixtral,LIT,Java,C#,117,18,15,8,158
codenet,mixtral,LIT,Java,Go,136,22,3,35,196
codenet,mixtral,LIT,Java,Python,74,11,62,49,196
codenet,mixtral,LIT,Python,Go,101,15,10,73,199
codenet,mixtral,LIT,Python,Java,26,16,25,132,199
codenet,mixtral,LIT,Python,Rust,132,15,4,48,199
codenet,mixtral,controlled,Go,C#,121,22,27,25,195
codenet,mixtral,controlled,Go,Java,54,19,19,103,195
codenet,mixtral,controlled,Go,Python,73,31,37,54,195
codenet,mixtral,controlled,Go,Rust,156,13,13,13,195
codenet,mixtral,controlled,Java,C#,124,32,29,11,196
codenet,mixtral,controlled,Java,Go,143,17,3,33,196
codenet,mixtral,controlled,Java,Python,55,19,70,52,196
codenet,mixtral,controlled,Java,Rust,133,7,28,28,196
codenet,mixtral,controlled,Python,C#,34,64,7,94,199
codenet,mixtral,controlled,Python,Go,150,14,4,31,199
codenet,mixtral,controlled,Python,Java,26,20,23,130,199
codenet,mixtral,controlled,Python,Rust,114,9,10,66,199
codenet,mixtral,controlled_md,Go,C#,115,26,36,18,195
codenet,mixtral,controlled_md,Go,Java,47,23,32,93,195
codenet,mixtral,controlled_md,Go,Python,59,33,51,52,195
codenet,mixtral,controlled_md,Go,Rust,139,22,18,16,195
codenet,mixtral,controlled_md,Java,C#,102,39,41,14,196
codenet,mixtral,controlled_md,Java,Go,133,26,10,27,196
codenet,mixtral,controlled_md,Java,Python,12,27,87,70,196
codenet,mixtral,controlled_md,Java,Rust,118,12,32,34,196
codenet,mixtral,controlled_md,Python,C#,23,58,11,107,199
codenet,mixtral,controlled_md,Python,Go,152,7,10,30,199
codenet,mixtral,controlled_md,Python,Java,31,18,21,129,199
codenet,mixtral,controlled_md,Python,Rust,115,13,7,64,199
codenet,phi3,controlled_md,Go,C#,110,57,26,2,195
codenet,phi3,controlled_md,Go,Java,109,15,48,23,195
codenet,phi3,controlled_md,Go,Python,19,26,96,54,195
codenet,phi3,controlled_md,Go,Rust,191,3,0,1,195
codenet,phi3,controlled_md,Java,C#,99,39,54,4,196
codenet,phi3,controlled_md,Java,Go,183,11,0,2,196
codenet,phi3,controlled_md,Java,Python,11,26,98,61,196
codenet,phi3,controlled_md,Java,Rust,165,16,13,2,196
codenet,phi3,controlled_md,Python,C#,66,49,18,66,199
codenet,phi3,controlled_md,Python,Go,186,9,2,2,199
codenet,phi3,controlled_md,Python,Java,82,16,44,57,199
codenet,phi3,controlled_md,Python,Rust,155,13,5,26,199
All,,,,,38435,8872,10524,11974,69805
